,nosoja,soja,accuracy,macro avg,weighted avg
precision,0.9929577464788732,0.9716981132075472,0.9887218045112782,0.9823279298432102,0.9887218045112782
recall,0.9929577464788732,0.9716981132075472,0.9887218045112782,0.9823279298432102,0.9887218045112782
f1-score,0.9929577464788732,0.9716981132075472,0.9887218045112782,0.9823279298432102,0.9887218045112782
support,426.0,106.0,0.9887218045112782,532.0,532.0
