,Septoria_Glycines,bacterial_blight,cercospora_leaf_blight,downey_mildew,frogeye,healthy,potassium_deficiency,soybean_rust,target_spot
Septoria_Glycines,53,3,0,2,1,1,0,0,6
bacterial_blight,1,45,2,0,1,1,0,15,1
cercospora_leaf_blight,0,1,63,0,0,0,0,2,0
downey_mildew,0,0,0,62,0,1,3,0,0
frogeye,0,1,0,0,62,2,0,0,1
healthy,0,0,0,3,2,60,1,0,0
potassium_deficiency,0,0,0,1,0,0,65,0,0
soybean_rust,0,6,1,0,1,0,0,58,0
target_spot,2,0,1,3,0,0,0,0,60
